 1  2  3  4  5  6  7  8  9 10 11 12 13 14
14  8  4 10  1  5  2  7  6 12  3  9 11 13
13 12  8 10  6 14  9  1  7 11  5  4  3  2
 2 14 12  1  8  3 10  5  7 13 11  9  4  6
 6 11 10  7  9 14 13  1 12  5  3  8  2  4
 4  9 12 14  6  8 13  2 10  3  5  1 11  7
 7 10  8 11  2  1 13  9  3 12  6  4 14  5
 5  8  6 13  3 14  7  4 11  1  9  2 12 10
10  9 13  4 12  2  5 11  8  7 14  1  6  3
 3  1  4 13  5  9  6 10 12  7  2  8 14 11
11 14  2  6  1  3 13  7 12  9  5 10  4  8
 8  5 12  4  2 11  3  7  1 14 10 13  6  9
 9  7  3 11  6  5 14  4  1 10  2 13  8 12
12 11  4  7  5 13 10 14  3  6  2  9  8  1
