 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17
17 10 12 15 11  8 13 16  6  9  1  7 14  2  4  3  5
 5  9 14 11 13 12 16 10 17  8 15  1  3  2  6  4  7
 7 12  2 10  3 13 15  6  5 11 14 16  9 17  1  4  8
 8 14 17  6  2 15  9 16  3 11  1 12  4 10  5  7 13
13  2  5 15 14  3 16  1  6  8  7  4 17 12  9 11 10
10  4  9  2  7  6 17  3  8 11 15 12 14 13  1  5 16
16 13  9  3  6  1 17  7 15  4  2 12 11  5  8 10 14
14  1  8 16  4  6 10  7 17 11  3  9 15  2 13  5 12
12 10 15 17  2  1 11 16  5  3 14  6 13  7  9  8  4
 4 11  7 16  8  1  9 12  5 13  6 14 10  2 17 15  3
 3  7  5 10  1 13  4 14  9  6 11  2  8 12 17 16 15
15  5 14 12  1 16  2  9  7 10  8  3 17  4 13 11  6
 6 12  3 15 13 10 16  7 11  9  4  1 14  8 17  5  2
 2 11 17 13  8  5  4 12  6 16 14  7  3  1 15 10  9
 9  5  1 10 13 17 14  4 15  8  6  3 12  7  2 16 11
11  4 16 12  8  2 14  5 17  9 13  3 10  6 15  7  1
