 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18
18  8  2 10 13 15 11  1 17  6 12  9  3  5  4 14  7 16
16 10 12 11  2  4  6  1  3 17  9  5  7 13 18 14  8 15
15 18  5 11 16 14  9 17 10  1  6 13  2 12  3  7  4  8
 8  6  3  1  9  7  5 18  4 10 14 11 13 12  2 16 15 17
17 11 14 16 12 10 18  1  4  2  5 15  3 13  6  9  8  7
 7  9 18 17 12  8 16 13  3 14  4 15  1  5  2  6 11 10
10  3 15  2  7 11  6  4 16  9 12 17 14 18 13  1  8  5
 5  9 11 17  7 14 10  6  8  3 12 15 13 16  4  1 18  2
 2 13 17  8 10 15 12 14  1 16 18  7  6  5  3  9  4 11
11 15 14 12  4 13  5  8 17  1 10  7 18  3 16  6  2  9
 9  1  7  2  8  4 12 16 11 18  6 14  3 10 17 15  5 13
13  4 17 16  3 18  9 14  2  1 11  5 10  8 12  7 15  6
 6 15  4 18 10 16  5 12  1 13  7 17  3  8 11  9  2 14
14  5 16  1 12  6 17  2 15  7 10  4  9 13  8 18 11  3
 3  6 18 16  8  1 14 13  9 15 10  2 11  7 12  5 17  4
 4  7  3 11  8 14 17 13 10  5  1 15  9  6 16  2 18 12
12 18 15  8 13 11  4  3  2 17  5 14  6 10  9 16  7  1
