 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19
19 17 14 18 12 15 10  7  5 16  1  4  8  2  6  3 13  9 11
11  9 12 14  8 15 13  7 16 19 10 17  1  3 18  4  6  2  5
 5 12  1  8 13 10 15 11 14 19 16 18 17  2  4  3  9  7  6
 6  4 18  9 19 14 12 11 10 13 15 17 16  2  1  5  7  3  8
 8 16  3  7  1 17 10  9  5 13 11 18  2 12 19 15  6 14  4
 4 12 16 11  3 15  2 17  5 18 14  6  8 19  7  9 13  1 10
10  1 11  4 16  7 19 18  3  2 13 12  5 17  6  9 15  8 14
14 13  4  9 16 15 12  2 18  7 10  5 11 17  8  6  1 19  3
 3  6  5  8 17  7 11 13 18 16  9 14 10 19  1 12  4  2 15
15  9  8  1  6 11 19  2  7 12 17 13 16  4 14  3  5 10 18
18  1 15 19  5  2 10 14  7  4 11  6 13  3 16  8 12  9 17
17 19  4 13  2  8 10  6 15  7 14 16  5  3 12 18 11  1  9
 9 18  5 14 11  2 16  6 10  4  7 15  1 13 19  8  3 17 12
12  3 14  9  2 19  6 16 10  8  4 15  5  1 18 13 17 11  7
 7 17  3 19  9  1 16 13  5  4 10 12  6 18  8 11 15 14  2
 2  9  6 12 10 16 14 17  4  1  7 18 15  3 11  8  5 19 13
13  6 17 15 18 10  3  1 14  5  9  4 19 12  8  7  2 11 16
16 12  7 13  8 18  6 19 11  5 15  4 17  9  3 10  2 14  1
