 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
20 19  8 16  9  2  5 17  1 11 18  3 15  6 14  4  7 10 13 12
12  1  9 16 15 17  5 11  8 20 13 18  2 10  3 14  6 19  7  4
 4  6  1 19  9  3  7  5 20 10  8  2 11 13 15 12 18 14 17 16
16 18  4 14  7  3  8 15 19 17 11 20  1  5  2  6 13  9 12 10
10 15  7 12 14 18  8  4 20 11 16 19  1  3  9  5 13  2 17  6
 6  5  7 15 18  9 20  3 19  2 12  8 10  1 13 11 14 16  4 17
17 20  2  7  6  3 10  5 14 19 11  1  4  8 12 15  9 18 16 13
13 16 10 17  7  9  6 11  5 18 15 20 12 19 14  2  4  1  8  3
 3 11 10 12 16  7 13 17 14 20  4 15  8  5 19 18  1  6  2  9
 9 13  3 18  5 15 14  1  7 16 20 17  4 10 19 12  6  8 11  2
 2  8  6 12  7 11  4  9 14 13 19  3 16  5  1 10 20 18 17 15
15  1 12  9 17 19 10  2 13  4 11  6 16 14  5  3 20  8  7 18
18 20  5 12  3 13  1 17  2 14  8 19  4 16  6  9 11 15 10  7
 7 14  9 15  2 16  1 18 10  4 19  5  8 13 20  6 17  3 12 11
11  9 19  6  4 12 17 13  5 10 16  8 18  7  1 15  3  2 20 14
14 10 18 11  3  1 16  2 19 15  4 13  6 20  7 17 12  5  9  8
 8 17  9  1 20 15 13  7  2 18  6 10 14 11 19 16 12  4  3  5
 5  4  2 15 11 17  8  1 14 12 20 16  3  6 18 13 10  9  7 19
19 13  8 14  3 17 10  6 15  5 16 11  7 20  9  4 18 12  2  1
