 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21
21  9  3  5  7 19 12 18  2 10 13 20 11  8 14  1 15  4  6 17 16
16 10  3 21 11 15 17  4  7  5  1  6 14  8 13  2 20  9 12 19 18
18 12 11  6 13  4  8 19 17 20  2 21 10 14 16  1  5  3  7  9 15
15 12 16 18  6  9 13  1 19 14 20  3 11 17  7 21  8  5  2  4 10
10  9  1 11  7 12 20  8 15 13 16 14 17 19 21 18  3  2  6  5  4
 4  9 14  3 17 12  5  8  6 20 18  1  7 15 10 16 13 11 21 19  2
 2  1 12 17  5 18 16 19  9 20  4 14  6  8 21 15  3 13 10  7 11
11 20 16 21 13 15 14  7  1 17  2  8 10 18  4  3  6 12  9  5 19
19 10  8  1 13  5  9  6 18 20  7  2 11  3 12  4 16 15 21 17 14
14 18 13  3 15  2  5 16  6 10 17 21 20 12  1  4 19  8 11  9  7
 7 18 21  2 17 15  8  3  9  4  1 10 12 14 19  5 13  6 11 16 20
20 19  1  8 16  7 17  9 21  3 14  2 12  6 15 11 10  4 13 18  5
 5 12 10 15  6 16  2 18  7 13 17 11 19  3  8 20 14  4 21  1  9
 9 16 11 18 14 10 19  4 15  5 21  6  1 20 17  8  2 13 12  7  3
 3 16  4 11  1 14  5 17  6 19 13 21  7 20 10  2 15 18  9  8 12
12 21 14  9 11 13 19  6  2  7  4 17  3 18 10 20  5 15  1 16  8
 8  4 20 15 19  7  6 21  5 11 14 13  9  2 16 12  3 10  1 18 17
17  1 21  4  2 19 16  3 20 13  8  7 14 12 15  9 18 11  5 10  6
 6  4 12  8 18 15  7 10  5 20  1  3 19 11  2 14 21 16  9 17 13
13  7 16  5 14 11  4 18  8 17 10 21 12  2  9 19 15 20  6  3  1
