 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22
22 18  6  1 19  4  7  2 14  8 20  9 21 10 15 17  3  5 11 13 12 16
16 15 10  1 22  6  5  9 19 21 17  2  4 20 11  7  3  8 12 14 18 13
13 18 21 16 22  7  4  1 20 14  2  5  8  3  9  6 17 10 12 15 11 19
19  5  1 11 14 13 15 18  8 10  2  6  9 16 20  7 12 17 21  3 22  4
 4  3 11  8 13  5  7  6  2 18 15 12 21  9 14 16 10 19 22 20  1 17
17 15  6 10  3 12 18 11 20 13  8 14  4 19 16  1 21  2  7 22  9  5
 5 12 10 13  4  8  6  3 14 17 22 11 15 19  9  1  7 16 18 20  2 21
21 14  7 15  8  2 22 12  5  3 20 16  4  9 11  6 13 17 19 18  1 10
10  9 20  3 13 11 16 14 12 19  1  4 15  7 17  5 18 22  2  8 21  6
 6 20 10 21  7 19 11  3 15  9 17  1  8  4 18 12 22 13  2 16  5 14
14  9 22 21 18  7 13 16  2  1  3 19 17 20  5  4  6 12 11 10  8 15
15 20 17  6 21  4 10 22 19  7 14  1 13  3  2  9  8 11 18  5 16 12
12  3 17  9  7 11 22 14  5 19  2 10 16 21  1 15  4 13 20  6  8 18
18  9  2 11 17  4 12 20  8 22 10 14 19  3 21 15  1  5 13  6 16  7
 7 20 22  1 18 10 17  8  5 15 13 21 19 12  4 16  9  3  6 14 11  2
 2 12  1  6 18 16  8 19 10 20  4 11 21  5 17  7  9 13 22 15 14  3
 3 16 19  6 11  1  9 12  2 13  7  5 20 15 22 17 14 10 18  4 21  8
 8  1 12  6 22 16 11  5 10  4 14 21 20 19 15  3  7 18  2 17 13  9
 9 18 17 12  8 16  6 19 13 10  7 21 11  4  2 15  5 22  3  1 14 20
20 12  9 15 21 13  1 16  3 18 14 22  5  2 19  8  7 10  6  4 17 11
11  9  4 22  8 17 16 13 19 14  6 15  2 20 18  3 10  5 21 12  7  1
