 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
23  4 12  9 16 18 10 15 19 22  8  2  1 14  6 11 20  7 21 17 13  3  5
 5  7  6  3  2 15 13  4  1 16 21  8 18 22 10 17  9 11 14 12 19 23 20
20 11 22  4  2  5 17 23 19  6 14 21 18  1  3 15  7 13  8 12 10 16  9
 9  3 16 19 21 11 15 22 12 14 10  8 13 20 23  5  1  4  6 17  2 18  7
 7 14  5 20 12  6  8 19 11  3  9 13 10  1 15 17  4 22  2 21 16 23 18
18  8 10 12 16  2 11 21 19  1 17 20 22 13  6  9 23  3  7 15  5  4 14
14 17 21 12 18 23 11  1  8 20  2 13 19 15  3 22 16  4  7  5  9  6 10
10 23  6 15 18 12 20 19  2 14  3  8 11  7  1 13 21  4  9 17 16  5 22
22 14 20  1 18 17 10  2 19  7  3 21  5  8  6 23  9 12  4 11 16 13 15
15  9 14  4  3 11  5 10  6 16 20 17  8 21 23 13 18  2  7 22  1 19 12
12 11 23 21  1  6 13 16 10 20 14 18  9  2  4 15  8  5  3 17 22  7 19
19 10 13  5  2 22 15 11  4 16  1  7  9 18 20  3  6 12 21 14 23  8 17
17  7 20  5 15  4 18  3 10  9 19  8 22  6  1 21 13  2 12 23 14 16 11
11 10  4  8  7 12 22 17 19  3 13  9 20  6 18 14  1  5 21 15 23  2 16
16  6 19  9 15  1 10 18 13 22 20  4 21  2 23  7 11 17  3 12  5 14  8
 8 23 10  7 16 22 21 20 18  4 13  1  9  5 19 14 11  6  2 17 15 12  3
 3 14 22 19 13 17  1 20  8  4 23 12  2  6  5 11  9  7 18 16 15 10 21
21  3 18  5 16  7  2  8  1 23 15 14  9 22 11 13 12 17  6 20 10 19  4
 4 17  5 12  7 23 16  3 19 18  6 22  9  1 11  8 15 21 10 14  2 20 13
13 23 22  3  1 12 15 20  9  4 19 16  8 14  7 17 11  2 10  5 18 21  6
 6 21  9  8 16 12  1 22 18 11 19  5 23 17 14 13  7  4 10  3 20 15  2
 2  9 21  7 10 22  5 13 11 18 15  6  4 20 16 14 19 17 12  8  3 23  1
