 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
24 18  6 19  2 23  1  4  7 11  3  5  8 10  9 12 16 21 17 13 15 22 20 14
14 17 19 16  2 22 21 20 13 23  3 18  4 24  5  1  6  8  7  9 11 10 12 15
15 18  7  6 16  9  8 11 13  3 23  5 24 19 10  2  4 12 14 20 17 21  1 22
22  7  2  1  3 11 17 20  4 19 12 21  5 18  9  6 23  8 13 16 24 15 14 10
10 21  8  2 11  9 20 18 22 12 17 23 13  6  5 19 14 24  1 15  3  7  4 16
16  1 19 21 13 20 23 12  3  8 24 22  2  5 10 17  4  6  9  7 14 18 15 11
11 18  8  4  1 12 19 13 24 14  6 10 15 21  2 16  3  9 17  7 20 22  5 23
23 16 10 24  7 21 19 22  6 11 14  4  2  8  5  3 12 18 20 15  1  9 13 17
17 14 19 15  5  7  3  6 22 24 16 23 18 21  4  8 12  9  1 10 20 11  2 13
13  1 20 19  9 21  6 12 22  3 17 24 23  2  7 16  8 14  5 15 10 18 11  4
 4 15 12 20 16 18  3 10 19 11 21  9 14 22  1  5 13  2 17  6 24  8 23  7
 7  5  9  2 24 17  8 15  4 10 13 18 12 23 19  1 14  3 16 22 11 20  6 21
21  3 13  8 16 20 24  9 22 14 23  4 11  5  2 10  1 17 12  6 15 19  7 18
18 10 14 11 15 20  1  7 12 24 21 23 17 22  4  3  2 19  8  6 13  9 16  5
 5  4  9 18 23 10 22  8 17 11  1 21  7 13 12  2  6 14 16 15 24 20  3 19
19 17  5 11  6  4 18 24 10  3 14 21 12  1  8 20  2 15 13 22 16  7 23  9
 9 15  6 17  1 23 20 12  4 13  5 14  2 18 16 11  7 22 19 24  3 21 10  8
 8 19 18 14  1 11 22  9 23 21 15  7 10  6 20  5 16 13  4 17  3 24  2 12
12  5 17  2 14 13 19 23 15  9  3 20  7 24 11  8 22 10  4 21 18  1 16  6
 6 18 13 10 23 22 15  2 20  8  1 24 12  7 17 16  4 14  9  5 21 11 19  3
 3 22 13 11 24  4 23 14  7  1 18 17 15  8 21 16 12 10  5 20  9 19  6  2
 2  9 24  6  3  1 13 21 14 12  8 18  5 22 17 10  7 15 23 11 16 19  4 20
20 10 16 14  8  3 15 17  9  4 22 18  2 21 24 13  7 19  5 12 11 23  6  1
