 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
25  6  4 18 15 13  7 16  2 21 14  3 19 22 17 20  5 23  1  8 24  9 11 10 12
12 14 20 22  9 23 13 10 24 11  7 15 25  1 19 18  8 17  2  4  3 16  5 21  6
 6  8 10 13  1  5  2 22 19 16 18  3 20  9  4 11 14 25 12 15  7 17 23 21 24
24 19  7  5 20  8 25  9 12 10 14 13  4 15  1 22  2 11  3  6 16 21 23 18 17
17 16  6 21  7 18  1 11 19 23  8 20 24 10 22 25  5  3  2  9 13 15 12  4 14
14 16  3  5 24 12 11  1  9 17  4 20  7 10 15 21 25 13 23 19  8  6 22 18  2
 2 19 17 21  4 23 25 20  6 13  3  1  7  9  5  8 22 10 16 11 15 14 12 24 18
18 21  1 24 15 17 25  8  5 22 16 23 20 10  2 14 19  9  3  7  4 12  6 11 13
13  5  4 21  8  1 16  7 11 17 22 15 18 23 14  2 20 12 19  3 25 24  6 10  9
 9 14 23  2  5  7 12 16  8 21 15 10 20 25  3 17 11 18 22  4 13 24  1  6 19
19  5 12 22  7 20 11 21 16  4  8 13  9  1 25 14 18 24  2 23 15  6 17  3 10
10 17 24 13  6 12 23 16  9 18  4  7 14 21  2 25 11  8 15 22  5 19  1 20  3
 3  8 18 20 19 15  2 24 21  5 11  4 16 22  1 23  6 14 10 25 17 13 12  9  7
 7 13 19 21  3  9  8 23 22 12 17 15 20 14 24  4  6 18 11 16 25  2  1 10  5
 5  9  6 15 19 24  7 23 11  2  8  3 12 25 18 10  1 21 13 16 20  4 17 14 22
22 13 25  7 19  2 10  3 23  4  9 24 16  1 12 21 11  5 18 14 17  6 20 15  8
 8  2 16 10 18  5 13 22 20 17  1 14  4 19 11  6  9 15 24  3 21 12  7 25 23
23 10  6 24  5 14  1 13 18 12 20 16 15  3 22  8 11  9 19 25  4  2 17  7 21
21 19  4 22 11 20 23  9 25 15  5 10  7  2 12  3 24 14  6  1 18 13 17  8 16
16 12 18  6  3 11 22 14  5 25 19 13 20  1 15 23 17 10 21  9  2  7 24  8  4
 4 24 17  5  1  3 13  8  7 22  6 25 21 10 23 12  2 15  9 20 18 16 19 14 11
11 25 22 24 23  3 18  7  1 17  9 16 14  8 12  5 15  4 10 19  6  2 13 21 20
20  2 18  9 21 17 19 12  1  4 25 10  8 14  7  6 23  5 16 13 11 24 22  3 15
15 11 23  7  3 14  9 22 21 18 25 16 24 20 13  2  6  5 17 12  8 19 10  4  1
