 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
26  5 23 10 16  1 17  9  6 15 18 20  7 11  3 24 12 14  8 13 19 21 25 22  2  4
 4  6 11 14  9  8 19  5 24 18 21  7 10 20 12  2  1  3 13 15 17 22 16 23 26 25
25  7 13  1 19 26  4 20  2  5  8  3 21  9 14  6 12 10 15 11 16 18 17 23 22 24
24  8 18 22  1 20 11 17 25 15 10  3  9 19  4 23 13 26 21 14  2 16  6  5  7 12
12  3  6 16  9  7 24 23 14 13  2 15  4 25 11  8  1  5 10 18 26 17 19 22 21 20
20  5 16 10  7 14 11  6 13  9 17 24 15 21  3  8 12 25 18 23 19  1 22  4 26  2
 2 12  4 15  5 22 14  7 17  3  1 18 16  8 20  9 11 10 19 23 25 21 13 24 26  6
 6  2 26 22 12 15 23  1 24 14  3 25  4 11  7  9  5 17  8 16 13 20 10 21 19 18
18 14 21 26 23 20 19  6 17 15 22  5 25  1  4  3  7  2 11 24  9 12  8 10 13 16
16 14 10 22 20 13  3 26 24 11  4 19 25 17 12 21 23 18  1  6  8  2  7  5 15  9
 9  2 10 17  4 21 18 13 22  3 19  7 16 20  8 23  5 26  1 11 15 12 24  6 25 14
14 12  6 19 10 23 16 15 13  4 17 26 11 22 18 24  1  7  3 20 25  2  8  5  9 21
21  6 14 16 22 17  5  1 23  9 13 10 12 26 15 20  3 18 25 19  2 24  7  4  8 11
11 13  5  2 22 15 14 17  6 23 12  1  8 21 16 24  4  7 18  3 10 25  9 20 26 19
19  8 15 24 10  2 25 12  9 26 20  1 13 11  5 21 17  7 22  6 18  4 16  3 14 23
23 11 20  4  9 22 19 12  5  3 17 14 18  2 13  6 21 24 16 25  8  7 26 10  1 15
15  8 14 19 16 26  3 12  7  1 25 13 17 10  9  4 18  5 11 21  2 20 23  6 24 22
22 25 23 17 20 24 13  7 15 19  3  2  6 26  8  4  1 21 11  9 16 12 18 10 14  5
 5 12 11 23 21  1 26 13 18 15 25  3 22  7  6  9 24 17  2 19 14 20 16  4 10  8
 8 17 13 21 12 16 19  9 23  2 14 22 26 18  6 20 15  7 25  5  4 24  3 11  1 10
10 24 19 11 18  7 20 14  4 22  8  6  3 23 15 26 12 17  1  9 25 16  2 21  5 13
13  8 22  9  1 14 24  2 17 21 10 26 16  5 18 11 25 20  6  4 12 23  7 19 15  3
 3 16 21  4 14 25 24 20 17 11  2 18  9 15  6  1 12 22 10  5 19 13 23  8 26  7
 7 21  8 24  5 14 26  9 18 12 20 22 13 25  6 10  4  2 23  3 15  1 16 11 19 17
17 16  7 23  4 13 12 19 24 21 15  2  9  3  5 20 18  8 25 10  6 22 11 26 14  1
