 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
27  2 11 13 25  3  1 22  4 19  8 12 10 23  5 14 24 26 20  6  9 16  7 15 21 18 17
17 19  4 15 14  7  9 18 12 22 26 21 16 20  8 10  3 11  2 13 23  1  6 24 27 25  5
 5 27 22 19 18 15 23  2  4  1  3 14 20 24  7  6 25  8 11  9 26 16 21 10 12 17 13
13  6 26  1 27  3 10 20 14 22  5  8 23  9 11  7 21 12 16 24  2 15 25 19 17  4 18
18 25 15 20  5 17  3  8 26  4 23 10 13 19 12 21 24 22 14 11 27 16  9  1  7  2  6
 6 20 22  7 18 27  4  8 25 13 24  5 23 26  3  2  9 12 11 14 16  1 21 15 17 10 19
19 13  2 22 24  3 20 12 23  4  9 21 25 27  1 26 10  5  7 11 17 15  6  8 14 18 16
16  4 20  7 26  8 15  9 23 11  3  5 13  1 12  6 14 17 21 19 22 18 10 25  2 27 24
24 19 16  3 17  6 11 18 13 21 26 12 15  5  2 14 25 10 22  8 20 27  9  4  7  1 23
23 19 11 20  3  6 21 27 26 24 16 10 17 22 12  4 25  1  8 13 15  2 18  5  9  7 14
14 23  7  3 19 21 13  4 12 24 11 10 16  2 25  6 17 20 26 22 15 18  8 27  5  1  9
 9  2 16 26 11  4 27 10  6  1 19 25 17 23 12  3 21  5 18 14  8 22 20 13  7 24 15
15 26  9 24 10 14 27  6  2 12 19 23 13 18  1 16  5 20 17  7 22 21  3 25  4 11  8
 8 16 14 12 18  2 17 26 25 21 23 20 15 10 24  1  4  3 27  7 13  5 11 19  9  6 22
22  3  7 23  8 21 20 16 15 24 17  2 19 14 26 13  9 25 11  1 10 18  6 27 12  5  4
 4  6  3  9 27 14  5 15  7 10 21 17  1 11 16  8 18 26 23 22 13 12 25 24 20 19  2
 2  5 19 10 15 11 21  1 24  4 22 16  6 12 26 14  9 17 25 18 20 23  3 13 27  8  7
 7 25 14  1 17 27 11  5 10 26 15 12  2 23  6 16 13 20 18 22  9 19  3 24  8  4 21
21 11 15 13  8 24 23 14  2 10 27 17  5 22 25 16 12  1 18  4 26  6 19  7 20  9  3
 3 22  6  4 10  1 13 16 18  7 12  9 20 11 23 21  2 26 17 24 14 19 27 15  8  5 25
25 12 14 13 22 27 18  9  5 16 11 24 21  4 17  8  1 20 10  2  7 19  6 23 15  3 26
26 19  1 25  7 27 13 17  9  8  2 21 14  3 15 22 10  4 16 23 18 11  6  5 24 12 20
20 25  9 13 26 18  3 23 16 19 24  6 15 27 21  7  4 14 10  8 17 11 22  2  1  5 12
12  8 19  5 26  2 20  1 15  4 13  3 18 24  9 14 21  6 10  7 17 16 27 23 25 22 11
11 25 23 17 12 27 20  2  8  6 18 21  9 15 19 26  7  5  3 16 22  1 14  4 24 13 10
10  9 22 17 14  6 13 11 26  5 21  8  3 12  7 16 25 20  4  2 24 18 23 27 19 15  1
