 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28
28  6  9  4 25  3 15 14  5  7 13 19 22  8 10 12 11 20 23 17  1 24 16 18 26  2 27 21
21 24 13 15 17  5 27 20 11 19 25 28 10  6  4 23 18  1 16 22 26  7  2  8 12  3  9 14
14 20 22  5 15 10 24 21 23 25 18 27  6  3 16 13 17  7 26 28  1 11  2  9  8 19  4 12
12 14 23 16 24 15 13  7 27 17 25 20 18 21 26 19 28 22  1  3 10  2  4  6  5  8 11  9
 9 21 18 20  8 16 26 17 22 24  2 10 13 11 14  1  7 15 25 27  3  5 12 19 23  6 28  4
 4 24  3 25 16 19  9 15 11  5 26  1  6 14 21 20 10  7 12 17 23 22 18 28  8 13 27  2
 2  1  8 22  3 12  9 20 24 23 19 18 10  4  7  5 28 21  6 25 11 13 16 14 17 15 27 26
26 14  7 22 25 21 11 23 27 18 17  6 19  8  5  1 20  2 12 10 16 28  3 13  9 24  4 15
15 21  3  6 24  5  9 13 18 23  2 22 27 25  1 10  8 14 11 26 20 28  7 16 12  4 17 19
19  2 11 28 14  6 15 18  3 21  5 10 25 17 13 20 26 22 16 23  1 27  7  4  9 12 24  8
 8 15 24 22  9 25 10 14 13  1  4 26  5  2 16  3 27 19 17 20  6 11 21 28 18 12 23  7
 7 28 11 18  8 17 21 14 24 19 26 25  4 20 27  1 22 12  2 15 23  9  5 13  6 16 10  3
 3  2 13 12 20  5 16 15 19 27 14  4 18  6  1  9 28 23 21 25  8  7 10 17 24 26 11 22
22 17 26  8 18 14 19  7  3 11 15  1 12 21 16 20 25  2 28  5  4 10  9 23 13 24  6 27
27  8 26  6 10 28  9 16 21 19 15  2 23  4 22 20  1 17  3  7 11 24 12  5 25 14 18 13
13 21 10  5 11  6 22 28 20  3 23 26 15  9 27 16 25  7  1 14  2 18  4 19 12  8 24 17
17 27 23 12 18 15 20  9  6 13  2 26 16 11 10 21  4 28 19 14  3  8 25 22  7 24  1  5
 5 14  8  1 21 27  9 22  2 17 10 23 20  4 11  3 18 24  7 19  6 26 13 25 12 15 28 16
16 27 24 28  2 21  7 23  3 19  1 13  8  4 14  9 17 11 25 15 22  6 12 26 10 18  5 20
20  7 25 19 24 10 15 26  3 14 12 27  4  1 18 16  2  5 17 28 13 22 21  9 11  8  6 23
23 28 12 16  1 26  4 13  3 17  2 25  5 24 14 22 10 20 15  6 18  7  9 19 21  8 27 11
11  4  8 20 12  7  6  2 24  9 18 25 23 14 26 21 17 16  5 22 13 28 27 15  3  1 19 10
10 19  3 20 13  4 21 12 25 24 18  2  7 17  8 28 26  9  1 15  5 23 11 27 22 14 16  6
 6 17 12 22  4 16  7 18  9 26 23 10 27 13  5 21  2 14 28 15  8  3 24 20 19 11  1 25
25  6  8 21 13 23 15  7 14 27 10 26 12  1 28 24 11 16  9  2 20 17  4  3 22 19  5 18
18 22 11  7 20 16  4 27  5 19 13 10  1 23  8  2  6 21 15 12 28 17 14 25  9  3 26 24
24 27 12  6 20 14 10 22 15  4  2 19 16  8 23  5  3 28 25 13 26 18 11 17  9  7 21  1
