 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
29  7 28 12  3 19  1  4  6 13 15 26  8 14 20 22 16 24 11 27 17  5  2 21 10  9 18 23 25
25 24  5 29 28 10  1 21 17 23 11 19  2 16  3 22  4 20 13 26  6  9  8 27  7 12 14 18 15
15 11  8  7  3 27 25 17 10 21 18 14 16  5 28  9 24 12 19  4 13 20 23 22  2  6 29  1 26
26  1  8 10  7 19 15  3 16 29 17 20  9 11 22  6 21 12 27 13  4 14  5 18 24  2 25 28 23
23 26  4 27  5 25 29  9 17 14 24 28  1  3  6 22 13 18  7  2  8 11 10 19 12 15 20 16 21
21 11 17  3 20 18 16  6 14 27 19  9 22 15 23 28  4 29  5 10 24  7 13  1 12 25  8 26  2
 2  7 14 10  6  4 23  5 17 21 13 16 15 25 11  9 20 24 18  8 19 22  1 27 26 28  3 29 12
12  9 21 14 22 17  4 15  5  7 20 19 24 13 23 29 25 16  1  6  2 18  3 26 10  8 28 27 11
11 13 17 19  5 20  6 18 27 12 16 28 21 15 14 26 29  3  1 22 24  4 25 23  8  2  9  7 10
10  4 26  3 23 27 24  6  8 20 25 21  5 16 22 11 28  2 29 13  7  9  1 18 12 17 15 19 14
14  6 12 10 29 19 13 21 16 25  7 22 20 26 15  8 23  9  4 11  2  5 24 27  3 17  1 28 18
18 29 10  5  8 21 19  7 15  6 11 25  9 12  4 16  2 28 13 27  1 24 14 17 22 26 23 20  3
 3 18 13  2  1 25 10 12  5 11 29 20 14  7  6 23  4 17  8 22  9 15 21 24 19 28 26 16 27
27 18 28 19 29 22  7  4  9 23 15 12  1 11  3 24 10 16  8  5 13 25  2 17  6 26 14 21 20
20 10  3 21  9 19  6 15  2  4 28 22 25 27 23  7  5 12 26 24 16 11  1 29 14  8 18 17 13
13 19  8 24 29 15  1  9 25 18 20 27  2 26  5 21 23  6 28  7 11 16  4  3 14 12 22 10 17
17 24 26 20  2 10 18  4  8 25  1 19 27  6  3 13  5  9 14 23 12 28 11 15 22 21 29 16  7
 7 16 26 21 27  8 29  2 11 20 28 14 19 17 25  3 12 23 10 13 22 18  1 15  4 24  9  6  5
 5 26  7 27 14  1 17  2 12 21 25 13 24  3 15 28  6 10 20 29  4 19 11 23 18 22  8 16  9
 9 26 11 14 25 15  7  1 10 22  3  2 13 12 29  8  4 18  5 19 21  6 27 20 17 28 24 23 16
16 12 18  9 27  4 21  7 17 29 11 24  8 13  6  1 20  5 14 28 15 10  2 23  3 25 19 26 22
22  5 15 24 17 26  9 16 10 14  2 19 18 25  4  1 23 13 11  6 20  8 12  7 29 27 21  3 28
28  5 27 22 12 20  1  7 18 21  2 14 29 23 17 16 13  8 15  9  3 11  4 10 26 19 25  6 24
24 20 11 18 26 17 12  2 27  9 28 25 22 29  6 16 14  4  7 21  1  5 23 19 10 15 13  3  8
 8  1 13 28 16 18  2 15 17  9 29 21 26 25 20 12  6 19  3  7 24 22 27 10 23 14 11  5  4
 4 22 19 16 23  2 24  1 14 13  9  5  3 10 28 20  7 25 12 11 21  8 17 27 15 29 26 18  6
 6 25 14  9  2 20 15 18 11 26 13 10 27 29 24 21  4 12  8  3  5 22 28 17  7 23  1 16 19
19 23 21 28  8  6 17 11  7 26 12 24 15 27 16 20  4  2 22 14  3  9 13 29 18 10 25  5  1
