 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
30  1 23 14 28 12 15 20 13 10 29 18  7 17  8 11  9 19  4 21 24 16  2 22  3  5 27 25  6 26
26 21 23 27 15 17 28 13 11 14 24 18 22 25  4 16 10  6 12 19  1 29  2 30  9 20  3  7  5  8
 8 18 27 10  1 19 11 29 20 30 12  9 28 23 25 22  6 13 24 14 26 15 21  2  4  3 16  5 17  7
 7  6 30 15  8 24  9  4  1 25  5 10 26 11  3 12 21 13 20  2 14 16 18 28 27 17 23 19 22 29
29 24  2 16 15 28  1 18 25  7 11 30 14 12  8 17 27 20  4 22  5 23  6  3 19  9 21 26 10 13
13 18 20 14  9 22 16 21 25 30  2 15 19 10  3 28 24 11  4 12  1  5 26  6  8 23  7 27 29 17
17 11  1  9  2 18 21 14 19  7  3 26 24  4 25  8 20 15 22 12 27 23 28 16  6 29 13 30 10  5
 5 28 10 17 15 30 29  4  2 23 26  1  3  6  9  7 12 20 27  8 13 25 11 16 14 18 24 22 19 21
21 27  6 28  2 17 16 22  7  4 14  1 20 29  3 25  9  8 26 30  5 11 10 12 18 13 15 24 19 23
23 16 28  3  8  5  7 29 21  9  6  1 10 18 26 25 12 17  2 11 15 13 27 22 14 30  4 24 20 19
19 12 23 11  5 18 29  7 30 20 28  8  1 13  2 10 14 17 21  6 15 25 16 24 26  3 22 27  4  9
 9 23 29  5 14  7 19 17 10 15 18 30 13 26 20 24 21  3 27  1 22 28  6 25  2  8 12 16  4 11
11  8 27 26  2  6  4 23  1 28 14 25 13 19 18  3 29 15  5 12 30 24  7  9 16 20 10 21 17 22
22  8  3 30 18  1 21 19 28  5  9 11  2  7 10  4  6 23 12 29 16 13 17 20 25 15 26 14 27 24
24 23  4 20 26 16 11  6 21  1 27 30 17  3  2  5 15 12 25 14 13 22  9 29 19  8 10  7 28 18
18  2 27  5 13 16 19  6 11  7 25 28 15  3 20  8 29  1 30 21  4 10 22 17 24 12 26 23  9 14
14 10 16 23  5 22 11 13 12  2  9 15 27  7  1  4 28 30  8 21 18  6 17 26 19  3 24 29 25 20
20  9 30  7 22 21 15 10 27  2  1 17  5 24  3 11 18 23  8 25 19 13 28 26 12  4 29 14  6 16
16 27 18  8 19 29  6 14 20 22 24 28 11 17 25 10  9  3 21 12  5 30 23  2 26  4  7 13  1 15
15  4 13  8 22 26  5 19 24 17 29  9 27 11 20 23 18 10 25 21  7 14  3  1 16 30  6  2 12 28
28  4 26 22 10 30 16 25 17 12  6 24 27  9 18  5 20 11 19  2 13  7 15  1  8 14 21 29 23  3
 3  9 13 21 20  1  6 19 14 11 22 30 25 18 12 24  5 16 26  7 23 10  2 28 17  4  8 15 29 27
27  3 10  8 28 25 23 13 29 22  1  7 16  9 24 15  2 19  5 21 30 11 26 18 14  4 17  6 20 12
12 22 18  4 19 25 24 30 27 13 23 15  6  5 29 10 20 17  9  1 11 21 28  7 26  8 16  3 14  2
 2 20  5 25 27 12  3 23 30 19 26 28 21  8  7 18 16 29 11 24  1 14 22  4 15  9 17 13  6 10
10 19 27 14 29  8  4 18 15  7 20 16 12 11 23 21  5  1 26 13  9 25  3 17 30 28 22  2 24  6
 6 18  9 26 17 14  5  3 13  4 27 16  1 12 10 24  8  2 29 28 19 30 22 15 23 20  7 21 11 25
25 29 26  9 12  7  2 21 16  8 30  3 18 11 27 19 15 14 23 17  1 24 10 28 20  6 22 13  5  4
 4 30 26 29 12 14  8  6 27 21 10 23 22 20 18 17 19 16  7 24 13  3 15 11 28  9  5  2 25  1
