 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
31  1 28  2 18 16 10 19 11 13 25 30 24 15 12  3 14 26  8 20 17 27  4  6 29 21  7 22  5  9 23
23 25  6 17 30 21 19 27  5 13 18 20 29 26 11 22  7  9  8 10 24 31 14 28 12 15  1  3  2  4 16
16  9 11 14 25 27  7  2 30 26 10 15 20  3 28  1  5 29 31 17  4 18  8 21 23  6 12 19 24 13 22
22  8  2 10 26 31 20  5 24  4 14 29 27 23 30 11 28  3 12  1  6 13  7 15 17  9 18 21 16 19 25
25 18 17 19 12 20 11 21 13 23 28 26 22  9 24  1 27 10  2 29  3 15  5 30 14 16 31  4  7  6  8
 8 11 30 28  4  2 31  5 17 21 24 26 23 13 16  3 29  1 25 14  6  9 12 27 15  7 10 22 20 19 18
18 10  9 13 11 26  3  1 20 22  2 23 12 28 17  6 30  4  8 24  5 19  7 27 16 14 31 21 15 25 29
29  2 11  7 12 26  9  3 30  5 31 13 24  6 10  4  1  8 14 17 20 15 18 22 16 21 25 28 19 23 27
27 29 24 22 18 26 13 19 21 30  1 23 15 28 10 14  8 25 20 31 11  2  5 12 17  7 16  4  3  9  6
 6 18 23 31  2 24 27  8  3 16  7  4 13 10 12 29 11  5 20 30 15 14 19 17 28  9 22 25  1 26 21
21 26 12  6 16 29  4 11 31  3  7 28  5 22 24 23  1 30 25  2 27 13 20 14 18 15  8 19  9 17 10
10 25  7 11 17  1 29  5  2  6 28 13  3  8 12 21 27 14 20 16 26 24 18 30  9  4 15 31 23 22 19
19 26 16  5 15 10 13 12 30  7  3 25 31  6 14  9  1 11 18 24 17  8 22 21  4 20 23 29 28 27  2
 2 25  8 15 11  6  5 10  1  7 13 17  3 31 26 14 21 18 27 30 12 16 28 20  9 19 22 29 23  4 24
24 12  7 14  4 19 15 22 17 13  6 31 28  8 23 26  1 21 10 29  9 20  2 16 30  3 27 18 11 25  5
 5  7 20  1  9  2 22 26 25 24 30 13  8 27  3 11  4 28  6 15 23 16 18 31 10 21 17 29 19 14 12
12  8 26  7 31 18 25 15 13 27  1 14  2 28 21  9 29 22  3 10 30  6 23  5  4 17 24 19 16 11 20
20 18 28 30  8  6 11 27 21 12 22 31  7 23  2 26  4 25  3 24  9 15 19  5 14 13 29 10 16  1 17
17 31 15 21  5 23 14 22 27  6 19 28  7 24 20  4  9 25 16  2  1 10  3 18 29 12 11  8 13 26 30
30 16  8 17  2 19 29 18  1 31 22 28 11  9 26 15 24  3 20  6  4 12  5 27 25 13 21 14 10 23  7
 7 29  6 20  8 16 22 30 17 25  4 26 19 10 18  2  9 14 23  3 21 31 27 12 24 11  1 13  5 28 15
15  6 21 28 31  8 18  3  5 11 23  9 27 17 22  1 12 10  7 25 19 13  4 29 16 24 14 30  2 20 26
26 20 24 28 14  1  4 30 18  5 16 23 17 11 10 27 31 29 13  2 12  9 21  8  7 19  6 25 22 15  3
 3  6 22  4 10  5 18  7 21 29  8 28 23 11 19 30 27 20 12 25  9 31 24  2 13  1 16 15 26 17 14
14  3 22  6 24 16 20 25 21  1 18 13  9 30 19  4 23 10  8 31 12  2 15 27 11 29  7 17  5 26 28
28 16 25 17 12 23 20 27 22 14 24  8 29 15  4 21 11  3 13 31 30 10  6 26  5  1 19  2  7 18  9
 9 16 12 14  5  3 26 18  4 22 10 17 23  8 30 29 20 13 28 24  7  1 15  2 21  6 27 19 31 25 11
11 15 29 25 10 28 22 13 30 23 18 12 31 19  3 17 16  6  1 24 21 20  7 26  2 14 27  9  5  8  4
 4 27 26  6  2  8  5 21  3 23 19  1 22 11 24 29 17 15  9 28 25 12 18 14  7 30 20 10 31 16 13
13 15 30 22 12  4 31  9  7  5 25 23 21  2 17 26 29 14 11 16 27 24 10 20 28 18  6  3 19  8  1
