 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
32  8 17  3 12 28  1  4 11 14 22 13  5  2 24 10  6  9  7 15 27 16 18 20 19 25 21 23 26 29 31 30
30 12 11 20 24 21  9 31 10  8 15 13 19 32 14 16 22  2  6 18 17  1 23 25  3  5 26 28 27  7 29  4
 4 32 10  7  3 19  2 14  9  8  1 31  6 15  5 11 21 18 22 12 16 13 17 20 29 23 27 24 26 25 30 28
28 31  1 27  8 29 19 23 14 17 13 21 20 15 22 30 18 32  6 10  2  4  9  5 24 16 11  3  7 25 12 26
26 11 31  2  5 29  6 14 32 15 28 30 19 12  3 16 20  7 13 18 23  1 17 21  4 22 24  8 25  9 27 10
10 22  4 17 25 16  3 18  6  1 19 15 30 21 27 13 32 20  8 26  7  5 28 23 31  9  2 29 24 12 14 11
11 29 10 19 16 26  2 15 20 17  5 27 21 24 22 28 32  7 18 25  8 30 23  3 31  4  1  6 12  9 14 13
13  7 19 26 20 16 23 29 25 14  4 18 30  9  3 32 11 15 17 31 24  5  1 21 28 10 12 22 27  2  8  6
 6 11  5  3 17 12 29  1 15 25  4 23 28 24  7 22 26 21 14 19 27 30 32  9 13 20 10 16 31  8  2 18
18  7  9 23 30 27 15 10 17 32  1 22 29  3 20 31 25 11 19  6 13 16 28 21 26 24  4  8  5 14  2 12
12  8 10 18  9 19 17 22 31 26 30 11 23 32 21 13 15 24 14 20 25  1 16  7 27 29  2 28  4  3  6  5
 5  8 27 14 18 21  7  4 19  9 15 26 10 28 16 24  3 11 22  6 17 23  2 13 29 12 25 20 30  1 32 31
31 11 24 30 25 15 29 16 32 23  6 19  1 18 12 27 17 26  3 13 28  2  7 10 20 14  5  4 21  8 22  9
 9  1  8 31 28  3  2 26 12 10 13 22 18 14 30 24 23  4  6 16 25 17  7 32 29 20  5 15 19 21 11 27
27  9 26 17  6  2 31 12  4  7 14 10 29 18 24 11  8 13  1 20 28 19 22 32  3 15 21 25 23  5 30 16
16  6 20 12 32 19 24 29 28  5 31  7  1 13  8  3  9  4  2 17 10 30 14 21 15 11 18 26 22 25 27 23
23 18 27 11 25 13 24 19 14 12 20  9 16 29 17 15  2 30  5 21 10 31 22  1 26  8 32  4 28  7  6  3
 3 14 25 28  6 26  5 32 22  7 11  1 30 29 21 16  2 19 31 13 27  4 10 23 17  8 18 15  9 12 24 20
20  1 24 15 18 16  4 25 10 32 26  9 21 29 11 28  8  7 23 12 30  2 22  5 13  6 31 17 14  3 27 19
19  8 16 12  5 17 24  6 23 21 30  7 28  9 11 10 15 31 14 26 32 25 18  2 20  3  1 29 13  4 27 22
22  8 19 30 26 13 31 29 32  2 25 24 17 27  3 10  4 12  1 28 11  7 16  9 18  5 20 23 15 14  6 21
21 17 11  2 16 27 20  4 24 28 12 18  8 14 29 26 15  7 31  3 22 10  1  5 19 13 23  9 32 30  6 25
25 29 27 31 15 32 12  2 23  7 17  4 13  3  8 11  6 22 14 28 18  1  9 30 20 26 16 21 19  5 10 24
24 27  1  3 21 31 16 10  9 25 22 11  4 14 23  8 12  6 28 20 13 26 19 18 29  5  7  2 32 17 30 15
15 23 10 14 24 13  2  9 28 25 19 29  7 20 22 21 32 18 31 27  6  8  4 30  3 26  1 11 16  5 12 17
17 16 14 27 32  5  9  6  4 15 12 31 18 13 25  2 10 21  3 29 22 19 28 26 23 20 11 30  8 24  1  7
 7 30 13  9 22  3 23 11 17 19  4 16  1 10 25 32 24  2 21 12 15  6 29  8 20 27 26 31  5 18 28 14
14 31 19  7 21  1 12 23 13 30  4 20 32 27  5 16 15  8 28 22 17  2 11 26 18 10  3 25  6 24  9 29
29 15  1 14  7 12 21  6 27 25  5 22 16  8 23 19  3 30 17  9 24 18 11 32 28 13 10 26  4 31 20  2
 2  1 25 31 21  5 23 22 20  6 30 10 27 18  4 29  9 17 28 15  3 24 32 16 19 11 13 12  7 26 14  8
 8 21  2 27 12 19 10  5 25  7 24 31 23 16 30 22 15  4 26  6 32 13 11  9 20 18  3 28 17 29 14  1
