 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
33 23 11 22 32 27  8  6  9  2 31 17 10 12  3  7 13 24  1 14 30 25 15 18  5  4 16 19 21 20 26 29 28
28  6 10 18  2  4 11  3 22  9 13 12 14 27 21 31 15 17 23  1 16 20 19 33 30 24 26 32 25  5 29  8  7
 7 12 29  3 27 13 11  1  6 32  2 30 14 25 16 15 19 31 18 17  4  8 20 22 33 24  5 23 21 26 28 10  9
 9 14 10 29  5  7  2 20 12 28 33 16  1 27  6 30  8 11 23 13 25 17 19 15 21 18  3 24  4 32 22 26 31
31 10 32 28 30  1 17  7 33  8 22  2  5  9  3  6 13 26 20 14 11  4 19 12 15 27 18 16 21 23 25 24 29
29 25 30 33 20  5 15 24 16 26  4 22 17 27 31  8 10  1 28 18 32 11 19  2 23  3 21  6 12  9  7 14 13
13  8 32 26 30 15 28  5 25 21 24 14 29 23  4 17  6 11  7 16 22  1 20 27  9 18 12 19  3 31 33  2 10
10 19 29 26 25  1 30 21 15 31 24  6 17 20 32 12 33 13  5  8 23  9  4 28 27  2 22  3 11 14 16  7 18
18 26 33 19  4 25 20 29 10 16 27 15  1 21 28 31 22 30 17 32  6 14  2  7  3 23  5 24  8 13  9 12 11
11 10 13 31  7 32 17 14  8 33  1 15 20 28  3  9 16 12 30 26 18  4 27 19 22 21  2 25 29 24 23  6  5
 5 28 23  2  6 15 12 26  1  7 17 21 29 13  3 30 16  4 24 31  9 19  8 14 20 10 22 11 18 25 27 33 32
32 18 20 30 22 24 15 14  9 11 21 17 25 23 26  2 27 29 12 31 16 33  3 19 28  7  1  4 10  5 13  6  8
 8  3 15 13  2 24 22 28 32  9 17 11  5 10 23 18 30 19 25 31 14 26 21 16 29 33 27  1 12  4 20  7  6
 6 33 15  3 25 18  1 19  7 20 31 11 16  8 24  2 17  5 26 22 27 23 28 21 30 29  4  9 32 13 10 14 12
12 16 23 22 25  6 19 18 28 20  8 15 26 24 13 32 10  3 29 11 17  9 27  4 21 33  5  1 31  2 14  7 30
30 27 14 17  3 18 31 12 32  7 21 25 13  4 15  5 33 26  6 16 28  8  2 29  1 22 10 20  9 23 19 11 24
24  3 10 33  4  6 18 21 27  5 30  7 23 16 31 13  1  8 12 22 29 19 32 14 28 15 25 11  2 26  9 20 17
17 29 14 22 20 33 28 12 18 23 27 24 19 30  9 15  2  1 25 32 16  6 21  3 26  8 31  5 11 13  7 10  4
 4  7 15 29 20 11 25 28  2 16 18 27 26  5 21 19 23  8 30 32 24  9 22 31  1 10  6  3 12 17 13 33 14
14 18 33  9  1  3 32  8 16 10 15 30 12  2 11 20 13 17 24 21  4 23 29 27 22 19  5 31  6 25  7 28 26
26 14 19  9 28 22  4 12 20 15 10 30 23 31  3 33  6 24 11 27  7 25  2 32  1  5 16 13 18 29 17  8 21
21 32 23 30 10 31  4 18 13 27  3 28 19 14 24 33 17  1 11  6  2  8  5 20 25  9 26 12  7 29 15 22 16
16 14 21  1  9  6 20 23  7 11 26  3  2 12  8 25 22  5 27 17 28  4 29 31 30 13 15 33 18 10 24 32 19
19 10 25  3  1 13 16 24  7  4 26 11 28  9 29 21  5 32 15  6 22  8 27 12 23 17 30  2 18 14 33 31 20
20  1 18 24 27 10 21  7 19 13 22  6 23 32  5  2  9 30  3  8 28 14 31 26 17 12 25  4 33 29 16 11 15
15 32  3  5 17 16 25 33 21  8 18 11  9 24 10  2 13 20  4 30 28  1 26 19  6 31 29  7 22 14 23 12 27
27 16 30 20  6 26  7  9 21 10  8 29 18 15 23 14 32  4  1 33 22 12  5  3 13 19 24 17  2 28 11 31 25
25  8 17 31 19 26 10 27 32 20 24 18  6 28 13 23 15  7  5 14  3 16  9 33 11 30  4  2 21 12  1 29 22
22 13 21  9 25 19 16  5 12 24 20  2 15 11 29  6  4  3 14  1 32 31 28 17 33 10  7 27 30 18  8 26 23
23 10 17 22 15  4 13 30 11  8 19  1 24 28 25 12  6 29  2 33  7 26 16 32 21 14  5 18  9 31 27 20  3
 3 20 18 22  7 24 30  6 27 25 14  4 31 21 11 32 29  9  5 19 17 15  8  1 23 33 12 10 26 13 28 16  2
 2 19 27 11 33 25 10 28 24 12 21 13 29 32 30  5 22 18  7 31 23 20 16  3 17 26 15  9  8  4 14  6  1
