 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
34 20  7  9 11 23 29 21 24 28 14 16 31 15 30 17 32 27 10 33  3  5  1 25 18  8  2 19 12 22 13 26  4  6
 6 18 23 16  2 17 26 28  3 12  5 19 27 20  1 29 24  4 25 15 13  7 30 33 21 11 22 34 31  8 10 32 14  9
 9 22 15 25  4 11 13 10 27 33  5 26  6 19  8 20 34 23 31 30 32 24 12 14 18 28  1  3 21  2  7 16 29 17
17 31 22  5 16  4 18 11 24 34  1 32 23 19 25 33 30 12 20  2 13  8 28  6  3 14 29  7 10 26 21  9 15 27
27 14 21 32 25 11 33  8 13 28 18 12 34  2  9 26  3 15 22 24 29 31 10 30  5 17 16  1 20  4 19  6 23  7
 7  6 17 34 11 25 19 10  4 24 33 23 30 26  2 32 28 21  5  3  1  8 29 14 20 31 12  9 13 15 18 16 27 22
22 21 29  1 19 30 14 23 18 31  4 33 15 34 12 11 32 26  5 20  3 24 16 13 17 25  2 27  6  9  7 28 10  8
 8 30 13  5  9 34  7  2 10 24  1 31 17 11 20 22  3 16  6 32  4 12 15 19 26 14 33 27 18 21 23 25 29 28
28  2  4 20 12 26 13  9  8 16 10 14 17 15 21 18 29  6 22 31  7 32  5 23 27 19 11  1 30 24  3 25 34 33
33 32  1 27  5  7 17 22 10 13 11 16 23  6 12  2  8 15  3 18 24  9 25 28 19 21 30 20 26 29  4 31 34 14
14  7  3 11 29 22  2 23  1 33 12  6 24 17 27  4 21 13 30  8 18 32  9 28 15  5 10 16 19 31 26 34 25 20
20 27  2 33 28 24  8 31  9 23 21 34  3 26 10  1 22 16  7 15 29  5  4 30 25 12 17 13 32  6 11 14 19 18
18 10 19  9  4 22 30 15 14 28 16 11 17 20  5  8 23 26 24 21 25 31 33 29 27 32  3 34  6  1  7 13  2 12
12 10 23 28 13  6 15  1  4  7 21  8 22 11 30 34 32  2  5 14 24 18 20 29 16 25 17  9 27 26 19 33 31  3
 3 13 23  5 25 16 32 31  1 34 26 15 24 19 28 17 14  2 30 27  7 29 11  4  8 21  6 20  9 12 18 22 33 10
10 28 33 19 16 12 21 17 23  9 31  5 11 26 18  6  4 27  8 32 20 30 22  1 24 13 25 14  3  2 15  7 34 29
29 32 10 17 30  6 33 25  1 11 34 13 12 19 22  4 23  2 14 31 16  9 20 15 26  7 24  5 18  3 28  8 27 21
21 26 30 16 18  1 28 22 29 33  2 20 17  3 27 25 32  7 23 34  4  9  5 24 10  6 31 11 15 12  8 14 13 19
19 29 23 22 18 33  4 10 20 14 25 30 21 27 24 26 31  6 13 34 17 28 32  8  1  5  2 11  7 12  3  9 16 15
15  9 29 12 27 16  3  6 14 22 17 24 11 31 28 23 13 33  1 18 25  5 21  4 26 32 19  7 20  8 34 30 10  2
 2 16 30  1 13 27  9 24 31 14  5 28 26 33 18 15 17  7  4 29  3 32 21 10 34 19 23 12 25 22 20  6  8 11
11 18 13 16  5 12 28  4 14 30 19 32 15 20 10  3 17  8  7 22  6 29 25  9 21 31  2 34 24 27  1 23 33 26
26 25  3 19 13 18  9 30 23 32 34 21 28 20 33  6 16  8 12 31 24 14 27 11 10 29 15  4  1 17  2 22  7  5
 5 29 34  9 32 11 19 24 20 25 21  3  7 14  1 26  8 17 33 13 31 18 30 28 27 15  2  6 10 22 12 23  4 16
16 20 11 27 29  2 25 24 15  6 21 33  7 31 19 14 34 18 17  1  9  3  8  4 28 12 32 13 22 26 23 10  5 30
30 29  8 24  2 18 27 17  4 13  1 21 14 32 22  9 19 15 11 28 34 10 12  7 25  6  5 33 16 26 20 23  3 31
31 13 29 26  1  6 25 23 15 32 30  7 11  2 21 12 16 22 27  3 10 18 14  8 19  4 17  5 34 28  9 33 20 24
24  6  2 29  9 14  4 15 23  8 26 11  3 20 32 12 30 18 34 16 21  1 10 25  7 33 17 19  5 22 28 31 27 13
13 21 15 10 31 20 16 24  7 18 26 22  8 25 27 23 11  6 28 30  2  1 14 12  4  3 33  9 17 29 19 34  5 32
32 16 28 25  8 33 22 14 26  9 18  2 24 23 17  6 34 27 12 29 10  7  1 15 31 21 20 19  3 30 11  5 13  4
 4 32 17 10 21 19  1 12 24 30  9  2 28  7 27 31 29 20 18  5 15 33 14 11  8  6 26 16 34 22 25 13  3 23
23 14 10  9  6 27 30  3 29 13 20 28 11 21  7 19  2 26 17 12  1 16 33 24 22 32 18  4 34 15  8  5 31 25
25 10 15 28  5 27 34  8  3 22 19 17 21 16 14  6 30  4  2 31 23 20 13 24 32 29 18  7 26 12 33 11  9  1
